_time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
Fri May 14 00:00:00 2021,3,5167,2,2174,0,1029,1,1805
Sat May 15 00:00:00 2021,1,1590,1,646,0,371,0,508
Sun May 16 00:00:00 2021,2,1932,0,634,1,497,0,699
Mon May 17 00:00:00 2021,5,4081,2,900,1,926,1,2052
Tue May 18 00:00:00 2021,3,2679,1,698,0,664,2,1186
Wed May 19 00:00:00 2021,2,2318,0,577,0,503,2,1129
Thu May 20 00:00:00 2021,1,1899,0,389,0,500,1,932
Fri May 21 00:00:00 2021,0,2012,0,451,0,524,0,954
Sat May 22 00:00:00 2021,0,749,0,130,0,220,0,346
Sun May 23 00:00:00 2021,0,1140,0,256,0,318,0,481
Mon May 24 00:00:00 2021,3,3605,0,686,1,926,2,1810
Tue May 25 00:00:00 2021,2,2288,0,494,1,572,0,1161
Wed May 26 00:00:00 2021,0,2024,0,387,0,502,0,1068
Thu May 27 00:00:00 2021,1,1768,0,333,1,482,0,879
Fri May 28 00:00:00 2021,1,1802,1,309,0,483,0,866
Sat May 29 00:00:00 2021,0,773,0,157,0,211,0,345
Sun May 30 00:00:00 2021,0,889,0,214,0,227,0,384
Tue Jun  1 00:00:00 2021,2,4152,0,811,1,1159,1,2054
Wed Jun  2 00:00:00 2021,1,2449,0,440,0,599,1,1321
Thu Jun  3 00:00:00 2021,1,1948,0,416,0,453,1,944
Fri Jun  4 00:00:00 2021,1,1912,1,395,0,480,0,917
Sat Jun  5 00:00:00 2021,0,675,0,96,0,171,0,341
Sun Jun  6 00:00:00 2021,0,870,0,174,0,235,0,395
Mon Jun  7 00:00:00 2021,0,2901,0,574,0,773,0,1435
Tue Jun  8 00:00:00 2021,1,2238,0,424,0,623,0,1116
Wed Jun  9 00:00:00 2021,0,2044,0,380,0,500,0,1079
Thu Jun 10 00:00:00 2021,0,1825,0,411,0,479,0,865
Fri Jun 11 00:00:00 2021,1,1691,0,339,0,417,1,805
Sat Jun 12 00:00:00 2021,0,624,0,97,0,167,0,315
Sun Jun 13 00:00:00 2021,0,918,0,206,0,233,0,407
Mon Jun 14 00:00:00 2021,1,2967,0,615,0,784,1,1478
Tue Jun 15 00:00:00 2021,1,2128,0,404,0,579,0,1067
Wed Jun 16 00:00:00 2021,0,1904,0,319,0,471,0,1056
Thu Jun 17 00:00:00 2021,0,1770,0,409,0,443,0,815
Fri Jun 18 00:00:00 2021,0,1565,0,278,0,431,0,785
Sat Jun 19 00:00:00 2021,0,424,0,61,0,135,0,195
Sun Jun 20 00:00:00 2021,0,498,0,95,0,133,0,233
Mon Jun 21 00:00:00 2021,0,1800,0,352,0,436,0,936
Tue Jun 22 00:00:00 2021,0,1101,0,218,0,247,0,590
Wed Jun 23 00:00:00 2021,0,847,0,155,0,189,0,471
Thu Jun 24 00:00:00 2021,1,737,0,166,0,150,1,354
Fri Jun 25 00:00:00 2021,0,811,0,151,0,182,0,415
Sat Jun 26 00:00:00 2021,0,268,0,50,0,69,0,122
Sun Jun 27 00:00:00 2021,0,271,0,58,0,69,0,113
Mon Jun 28 00:00:00 2021,0,1219,0,258,0,282,0,645
Tue Jun 29 00:00:00 2021,0,836,0,161,0,177,0,467
Wed Jun 30 00:00:00 2021,0,649,0,120,0,153,0,353
Thu Jul  1 00:00:00 2021,1,669,0,169,0,127,1,330
Fri Jul  2 00:00:00 2021,0,717,0,111,0,137,0,358
Sat Jul  3 00:00:00 2021,0,235,0,43,0,55,0,107
Tue Jul  6 00:00:00 2021,1,1246,1,213,0,268,0,723
Wed Jul  7 00:00:00 2021,2,729,2,122,0,137,0,430
Thu Jul  8 00:00:00 2021,0,702,0,156,0,137,0,341
Fri Jul  9 00:00:00 2021,1,694,0,114,0,122,1,405
Sat Jul 10 00:00:00 2021,1,191,0,35,1,42,0,94
Sun Jul 11 00:00:00 2021,0,154,0,38,0,31,0,73
Mon Jul 12 00:00:00 2021,4,855,0,173,1,161,3,492
Tue Jul 13 00:00:00 2021,1,627,0,116,1,120,0,360
Wed Jul 14 00:00:00 2021,1,557,0,112,0,116,0,309
Thu Jul 15 00:00:00 2021,3,605,1,132,2,91,0,303
Fri Jul 16 00:00:00 2021,0,637,0,92,0,103,0,373
Sat Jul 17 00:00:00 2021,2,194,1,31,1,41,0,108
Sun Jul 18 00:00:00 2021,2,260,0,56,1,50,0,123
Mon Jul 19 00:00:00 2021,7,876,1,152,0,169,6,521
Tue Jul 20 00:00:00 2021,2,644,0,98,0,120,2,389
Wed Jul 21 00:00:00 2021,3,561,1,94,0,99,2,342
Thu Jul 22 00:00:00 2021,4,644,3,103,0,111,1,337
Fri Jul 23 00:00:00 2021,7,649,2,85,0,139,4,402
Sat Jul 24 00:00:00 2021,0,185,0,38,0,35,0,96
Sun Jul 25 00:00:00 2021,1,233,0,48,0,45,0,116
Mon Jul 26 00:00:00 2021,1,853,0,152,1,132,0,544
Tue Jul 27 00:00:00 2021,5,702,2,119,1,140,2,402
Wed Jul 28 00:00:00 2021,8,677,2,135,2,122,4,390
Thu Jul 29 00:00:00 2021,7,784,3,121,1,155,3,395
Fri Jul 30 00:00:00 2021,4,944,1,123,0,170,3,534
Sat Jul 31 00:00:00 2021,2,289,2,48,0,58,0,163
Sun Aug  1 00:00:00 2021,0,388,0,91,0,65,0,209
Mon Aug  2 00:00:00 2021,5,1289,1,201,1,216,3,810
Tue Aug  3 00:00:00 2021,8,926,2,166,1,136,4,574
Wed Aug  4 00:00:00 2021,7,935,2,180,0,161,3,515
Thu Aug  5 00:00:00 2021,7,1019,2,167,1,166,3,584
Fri Aug  6 00:00:00 2021,7,1052,3,169,0,170,4,663
Sat Aug  7 00:00:00 2021,3,339,0,80,1,71,1,163
Sun Aug  8 00:00:00 2021,8,451,1,98,1,85,5,232
Mon Aug  9 00:00:00 2021,8,1275,2,161,0,258,6,790
Tue Aug 10 00:00:00 2021,7,1080,1,151,1,190,5,667
Wed Aug 11 00:00:00 2021,8,922,3,141,0,195,5,532
Thu Aug 12 00:00:00 2021,8,975,2,128,1,209,3,572
Fri Aug 13 00:00:00 2021,8,1304,4,216,0,285,3,740
Sat Aug 14 00:00:00 2021,3,425,1,107,0,93,2,185
Sun Aug 15 00:00:00 2021,5,740,0,259,0,145,5,265
Mon Aug 16 00:00:00 2021,12,2206,2,810,2,396,7,864
Tue Aug 17 00:00:00 2021,11,1691,3,660,2,258,6,684
Wed Aug 18 00:00:00 2021,17,1930,7,985,0,298,10,529
Thu Aug 19 00:00:00 2021,15,2131,10,987,1,357,4,689
Fri Aug 20 00:00:00 2021,14,2072,6,951,2,352,6,705
Sat Aug 21 00:00:00 2021,8,1265,7,859,0,167,0,206
Sun Aug 22 00:00:00 2021,19,2485,14,1805,2,350,3,264
Mon Aug 23 00:00:00 2021,29,4487,18,2899,0,601,8,904
Tue Aug 24 00:00:00 2021,22,3155,13,1996,2,363,6,728
Wed Aug 25 00:00:00 2021,25,3175,18,2171,0,363,7,594
Thu Aug 26 00:00:00 2021,19,3153,15,2055,3,352,1,684
Fri Aug 27 00:00:00 2021,21,3839,18,2445,2,433,1,886
Sat Aug 28 00:00:00 2021,26,1284,26,934,0,152,0,174
Sun Aug 29 00:00:00 2021,23,3183,18,2503,3,308,1,323
Mon Aug 30 00:00:00 2021,74,5434,61,3684,7,634,5,1026
Tue Aug 31 00:00:00 2021,62,5557,51,4161,4,492,7,788
Wed Sep  1 00:00:00 2021,43,5314,32,3931,3,497,7,762
Thu Sep  2 00:00:00 2021,25,5384,21,3687,2,668,2,903
Fri Sep  3 00:00:00 2021,25,4318,19,2665,0,525,6,1022
Sat Sep  4 00:00:00 2021,12,1282,11,867,0,149,0,215
Sun Sep  5 00:00:00 2021,15,1744,13,1159,0,243,2,276
Mon Sep  6 00:00:00 2021,10,2712,8,1966,0,331,1,348
